Albania,HS - 220710 - Undenatured ethyl alcohol of an alcoholic strength by volume of 80 % vol or higher,0,0,0,0,0
Albania,"HS - 284700 - Hydrogen peroxide, whether or not solidified with urea",2,2,2,2,2
Albania,HS - 300120 - Extracts of glands or other organs or of their secretions,0,0,0,0,0
Albania,HS - 300190 - Other,0,0,0,0,0
Albania,HS - 300210 - Antisera and other blood fractions,0,,,,
Albania,HS - 300212 - Antisera and other blood fractions,,0,0,0,0
Albania,"HS - 300213 - Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",,0,0,0,0
Albania,"HS - 300214 - Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",,0,0,0,0
Albania,"HS - 300215 - Immunological products, put up in measured doses or in forms or packings for retail sale",,0,0,0,0
Albania,HS - 300219 - Other,,0,0,0,0
Albania,HS - 300220 - Vaccines for human medicine,0,0,0,0,0
Albania,HS - 300290 - Other,0,0,0,0,0
Albania,"HS - 300310 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",0,0,0,0,0
Albania,HS - 300320 - Containing other antibiotics,0,0,0,0,0
Albania,HS - 300331 - Containing insulin,0,0,0,0,0
Albania,HS - 300339 - Other,0,0,0,0,0
Albania,HS - 300340 - Containing alkaloids or derivatives thereof but not containing hormones or other products of heading 29.37 or antibiotics,0,,,,
Albania,HS - 300341 - Containing ephedrine or its salts,,0,0,0,0
Albania,HS - 300342 - Containing pseudoephedrine (INN) or its salts,,0,0,0,0
Albania,HS - 300343 - Containing norephedrine or its salts,,0,0,0,0
Albania,HS - 300349 - Other,,0,0,0,0
Albania,"HS - 300360 - Other, containing antimalarial active principles described in Subheading Note 2 to this Chapter",,0,0,0,0
Albania,HS - 300390 - Other,0,0,0,0,0
Albania,"HS - 300410 - Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives",0,0,0,0,0
Albania,HS - 300420 - Containing other antibiotics,0,0,0,0,0
Albania,HS - 300431 - Containing insulin,0,0,0,0,0
